T1	VARIABLE 3 24	development test data
T935	CAUSE_EFFECT_RELATION 8513 8705	If electronic or electrical components are mounted internally to or externally on the mechanism a ground bonding strap shall be used between the mechanism housing and the mounting ground plane
T936	ROOT_SENTENCE 8513 8706	If electronic or electrical components are mounted internally to or externally on the mechanism a ground bonding strap shall be used between the mechanism housing and the mounting ground plane.
T53	STATEMENT 712 806	the return line is grounded at the power source in the actual installation (star distribution)
T54	CAUSE 709 806	If the return line is grounded at the power source in the actual installation (star distribution)
T55	CAUSE_EFFECT_RELATION 709 878	If the return line is grounded at the power source in the actual installation (star distribution), the return line of the LISN shall be grounded on the power source side
T56	ROOT_SENTENCE 709 879	If the return line is grounded at the power source in the actual installation (star distribution), the return line of the LISN shall be grounded on the power source side.
T57	VARIABLE 3255 3265	meaningful
T58	VARIABLE 3270 3294	agreed with the customer
T130	AND 3255 3294	meaningful and agreed with the customer
T131	CAUSE 3252 3294	If meaningful and agreed with the customer
T132	CAUSE_EFFECT_RELATION 3252 3355	If meaningful and agreed with the customer, constant acceleration and acoustic tests shall be performed
T238	ROOT_SENTENCE 3252 3356	If meaningful and agreed with the customer, constant acceleration and acoustic tests shall be performed.
T239	ROOT_SENTENCE 3488 3702	If the TS defines a product that is a component of a higher tier system, the TS shall recall the related needs of that larger system and shall describe the identified interfaces between that system and the product.
T240	VARIABLE 5227 5308	introducing the following sentence: “No special assumptions are to be underlined”
T241	KEY_C 5224 5226	by
T242	VARIABLE 5190 5194	this
T243	CONDITION 5195 5222	shall be explicitly written
T244	EFFECT 5224 5308	by introducing the following sentence: “No special assumptions are to be underlined”
T245	STATEMENT 5190 5222	this shall be explicitly written
T246	AND 5190 5308	this shall be explicitly written, by introducing the following sentence: “No special assumptions are to be underlined”
T247	CAUSE_EFFECT_RELATION 5115 5308	If no significant assumptions have been used in the modelling of the item, this shall be explicitly written, by introducing the following sentence: “No special assumptions are to be underlined”
T436	ROOT_SENTENCE 5115 5309	If no significant assumptions have been used in the modelling of the item, this shall be explicitly written, by introducing the following sentence: “No special assumptions are to be underlined”.
T437	ROOT_SENTENCE 7835 7973	If bearing preload is not measured after final mechanism assembly, it shall be assessed by means of measurements approved by the customer.
T438	ROOT_SENTENCE 10293 10517	If in?flight draining cannot be performed through the flow paths for the normal operation of the propulsion system, specific lines or valves shall be incorporated in the liquid propulsion system to enable in?flight draining.
T439	CAUSE_EFFECT_RELATION 11652 11789	Mechanical pre?cleaning shall be performed only if the process of abrasion does not lead to unacceptable damage of the item being cleaned
T575	ROOT_SENTENCE 11652 11790	Mechanical pre?cleaning shall be performed only if the process of abrasion does not lead to unacceptable damage of the item being cleaned.
T576	ROOT_SENTENCE 12456 12640	If a component has undergone a surface treatment to meet the compatibility requirements, this component shall undergo compatibility testing in conformance with clauses 4.1.2 and 4.1.3.
T231	VARIABLE 2961 2973	EHF payloads
T232	ROOT_SENTENCE 4988 5113	If special parameters are required to correctly use the model with a specific code, then these parameters shall be specified.
T233	CONDITION 6635 6725	shall include copies of the formal discrepancy reports, including rationale for acceptance
T234	STATEMENT 6628 6725	the TE shall include copies of the formal discrepancy reports, including rationale for acceptance
T235	CONDITION 3169 3249	shall include all parts of the product including all joints, welds, end fittings
T236	CONDITION 4112 4189	shall be performed to verify the load paths in the tested composite component
T237	VARIABLE 11119 11172	complementary qualification linked to these overloads
T250	VARIABLE 9969 10008	the models from which this data results
T267	VARIABLE 3029 3054	a material test programme
T81	VARIABLE 1573 1590	the modifications
T198	ROOT_SENTENCE 13138 13314	If the characteristic time is not known, an analysis of the susceptibility of the material to hydrogen embrittlement shall be performed in order to establish the test duration.
T154	STATEMENT 13659 13763	the Reed?Solomon decoder can perform a meaningless error correction of the frame and deliver it as valid
T144	CONDITION 13630 13652	correctly synchronized
