T1	VARIABLE 0 22	Some open site testing
T917	STATEMENT 6398 6502	updates should be sent within 10 seconds of the Host knowing that the channel classification has changed
T918	STATEMENT 6376 6396	this command is used
T919	CAUSE 6373 6396	If this command is used
T920	CAUSE_EFFECT_RELATION 6373 6502	If this command is used, updates should be sent within 10 seconds of the Host knowing that the channel classification has changed
T921	ROOT_SENTENCE 6373 6503	If this command is used, updates should be sent within 10 seconds of the Host knowing that the channel classification has changed.
T922	KEY_C 5701 5703	If
T923	VARIABLE 5704 5713	this time
T924	CONDITION 5714 5721	expires
T925	VARIABLE 5726 5743	the remote device
T926	CONDITION 5752 5791	responded to the page at baseband level
T927	NEGATION 5744 5791	has not responded to the page at baseband level
T928	STATEMENT 5726 5791	the remote device has not responded to the page at baseband level
T929	STATEMENT 5704 5721	this time expires
T930	AND 5704 5791	this time expires and the remote device has not responded to the page at baseband level
T931	VARIABLE 5793 5815	the connection attempt
T932	CONDITION 5816 5849	will be considered to have failed
T933	STATEMENT 5793 5849	the connection attempt will be considered to have failed
T934	CAUSE 5701 5791	If this time expires and the remote device has not responded to the page at baseband level
T935	CAUSE_EFFECT_RELATION 5701 5849	If this time expires and the remote device has not responded to the page at baseband level, the connection attempt will be considered to have failed
T936	ROOT_SENTENCE 5701 5850	If this time expires and the remote device has not responded to the page at baseband level, the connection attempt will be considered to have failed.
T937	KEY_C 5594 5596	If
T938	VARIABLE 5600 5616	additional space
T939	CONDITION 5617 5654	is available in the BR/EDR Controller
T940	KEY_C 5655 5659	then
T941	VARIABLE 5663 5683	additional link keys
T942	CONDITION 5684 5698	will be stored
T943	STATEMENT 5663 5698	additional link keys will be stored
T944	NEGATION 5660 5698	no additional link keys will be stored
T945	EFFECT 5655 5698	then no additional link keys will be stored
T946	STATEMENT 5600 5654	additional space is available in the BR/EDR Controller
T947	NEGATION 5597 5654	no additional space is available in the BR/EDR Controller
T948	CAUSE 5594 5654	If no additional space is available in the BR/EDR Controller
T949	CAUSE_EFFECT_RELATION 5594 5698	If no additional space is available in the BR/EDR Controller then no additional link keys will be stored
T950	ROOT_SENTENCE 5594 5699	If no additional space is available in the BR/EDR Controller then no additional link keys will be stored.
T951	KEY_C 5475 5477	If
T952	VARIABLE 5478 5491	Read_All_Flag
T953	CONDITION 5492 5501	indicates
T954	VARIABLE 5507 5520	all Link Keys
T955	CONDITION 5521 5539	are to be returned
T956	STATEMENT 5507 5539	all Link Keys are to be returned
T957	STATEMENT 5478 5501	Read_All_Flag indicates
T958	KEY_C 5502 5506	that
T959	CAUSE 5502 5539	that all Link Keys are to be returned
T960	CAUSE 5475 5501	If Read_All_Flag indicates
T961	KEY_C 5541 5545	then
T962	VARIABLE 5546 5575	the BD_ADDR command parameter
T963	CONDITION 5576 5591	must be ignored
T964	STATEMENT 5546 5591	the BD_ADDR command parameter must be ignored
T965	EFFECT 5541 5591	then the BD_ADDR command parameter must be ignored
T966	AND 5475 5539	If Read_All_Flag indicates that all Link Keys are to be returned
T967	CAUSE_EFFECT_RELATION 5475 5591	If Read_All_Flag indicates that all Link Keys are to be returned, then the BD_ADDR command parameter must be ignored
T968	ROOT_SENTENCE 5475 5592	If Read_All_Flag indicates that all Link Keys are to be returned, then the BD_ADDR command parameter must be ignored.
T969	KEY_C 5369 5371	If
T970	VARIABLE 5372 5380	there is
T971	CONDITION 5381 5418	a contradiction between event filters
T972	VARIABLE 5420 5447	the latest set event filter
T973	CONDITION 5448 5472	will override older ones
T974	STATEMENT 5420 5472	the latest set event filter will override older ones
T975	STATEMENT 5372 5418	there is a contradiction between event filters
T976	CAUSE 5369 5418	If there is a contradiction between event filters
T977	CAUSE_EFFECT_RELATION 5369 5472	If there is a contradiction between event filters, the latest set event filter will override older ones
T978	ROOT_SENTENCE 5369 5473	If there is a contradiction between event filters, the latest set event filter will override older ones.
T979	KEY_C 5193 5195	If
T980	VARIABLE 5196 5204	the Host
T981	CONDITION 5205 5267	tries to set more filters than the BR/EDR Controller can store
T982	VARIABLE 5269 5290	the BR/EDR Controller
T983	CONDITION 5291 5329	will return the Memory Full error code
T984	VARIABLE 5334 5344	the filter
T985	CONDITION 5354 5366	be installed
T986	NEGATION 5345 5366	will not be installed
T987	STATEMENT 5334 5366	the filter will not be installed
T988	STATEMENT 5269 5329	the BR/EDR Controller will return the Memory Full error code
T989	AND 5269 5366	the BR/EDR Controller will return the Memory Full error code and the filter will not be installed
T990	STATEMENT 5196 5267	the Host tries to set more filters than the BR/EDR Controller can store
T991	CAUSE 5193 5267	If the Host tries to set more filters than the BR/EDR Controller can store
T992	CAUSE_EFFECT_RELATION 5193 5366	If the Host tries to set more filters than the BR/EDR Controller can store, the BR/EDR Controller will return the Memory Full error code and the filter will not be installed
T993	ROOT_SENTENCE 5193 5367	If the Host tries to set more filters than the BR/EDR Controller can store, the BR/EDR Controller will return the Memory Full error code and the filter will not be installed.
T53	KEY_C 1461 1465	only
T994	EFFECT 1461 1518	only the Remote Name Request Complete event shall be sent
T995	CAUSE_EFFECT_RELATION 1453 1518	If not, only the Remote Name Request Complete event shall be sent
T996	ROOT_SENTENCE 1453 1519	If not, only the Remote Name Request Complete event shall be sent.
T997	CONDITION 547 614	has received the RAN UE NGAP ID IE in an INITIAL UE MESSAGE message
T998	KEY_C 618 620	if
T999	VARIABLE 621 636	the NG-RAN node
T1000	CONDITION 637 696	has already initiated a UE-associated logical NG-connection
T1001	CONDITION 697 737	by sending an INITIAL UE MESSAGE message
T1002	CONDITION 738 771	via another NG interface instance
T1003	AND 697 771	by sending an INITIAL UE MESSAGE message via another NG interface instance
T1004	AND 637 771	has already initiated a UE-associated logical NG-connection by sending an INITIAL UE MESSAGE message via another NG interface instance
T1005	STATEMENT 621 771	the NG-RAN node has already initiated a UE-associated logical NG-connection by sending an INITIAL UE MESSAGE message via another NG interface instance
T1006	CAUSE 618 771	if the NG-RAN node has already initiated a UE-associated logical NG-connection by sending an INITIAL UE MESSAGE message via another NG interface instance
T1007	STATEMENT 539 614	the AMF has received the RAN UE NGAP ID IE in an INITIAL UE MESSAGE message
T1008	CAUSE 536 614	if the AMF has received the RAN UE NGAP ID IE in an INITIAL UE MESSAGE message
T1009	STATEMENT 476 532	a UE- associated logical NG-connection exists for the UE
T1010	CAUSE 473 532	if a UE- associated logical NG-connection exists for the UE
T1011	STATEMENT 416 472	The AMF may initiate the Initial Context Setup procedure
T1012	OR 536 771	if the AMF has received the RAN UE NGAP ID IE in an INITIAL UE MESSAGE message or if the NG-RAN node has already initiated a UE-associated logical NG-connection by sending an INITIAL UE MESSAGE message via another NG interface instance
T1013	OR 473 771	if a UE- associated logical NG-connection exists for the UE or if the AMF has received the RAN UE NGAP ID IE in an INITIAL UE MESSAGE message or if the NG-RAN node has already initiated a UE-associated logical NG-connection by sending an INITIAL UE MESSAGE message via another NG interface instance
T1014	CAUSE_EFFECT_RELATION 416 771	The AMF may initiate the Initial Context Setup procedure if a UE- associated logical NG-connection exists for the UE or if the AMF has received the RAN UE NGAP ID IE in an INITIAL UE MESSAGE message or if the NG-RAN node has already initiated a UE-associated logical NG-connection by sending an INITIAL UE MESSAGE message via another NG interface instance
T1015	ROOT_SENTENCE 416 772	The AMF may initiate the Initial Context Setup procedure if a UE- associated logical NG-connection exists for the UE or if the AMF has received the RAN UE NGAP ID IE in an INITIAL UE MESSAGE message or if the NG-RAN node has already initiated a UE-associated logical NG-connection by sending an INITIAL UE MESSAGE message via another NG interface instance.
T1016	CONDITION 6816 6829	shall be used
T1017	KEY_C 6830 6834	when
T1018	VARIABLE 6835 6893	issuing subsequent Set Connectionless Slave Broadcast Data
T1019	VARIABLE 6898 6941	Set Connectionless Slave Broadcast commands
T1020	AND 6835 6941	issuing subsequent Set Connectionless Slave Broadcast Data and Set Connectionless Slave Broadcast commands
T1021	CAUSE 6830 6941	when issuing subsequent Set Connectionless Slave Broadcast Data and Set Connectionless Slave Broadcast commands
T1022	STATEMENT 6795 6829	the reserved LT_ADDR shall be used
T1023	EFFECT 6790 6829	then the reserved LT_ADDR shall be used
T1024	CAUSE_EFFECT_RELATION 6790 6941	then the reserved LT_ADDR shall be used when issuing subsequent Set Connectionless Slave Broadcast Data and Set Connectionless Slave Broadcast commands
T1025	STATEMENT 6768 6788	the command succeeds
T1026	CAUSE 6765 6788	If the command succeeds
T1027	CAUSE_EFFECT_RELATION 6765 6941	If the command succeeds, then the reserved LT_ADDR shall be used when issuing subsequent Set Connectionless Slave Broadcast Data and Set Connectionless Slave Broadcast commands
T1028	ROOT_SENTENCE 6765 6942	If the command succeeds, then the reserved LT_ADDR shall be used when issuing subsequent Set Connectionless Slave Broadcast Data and Set Connectionless Slave Broadcast commands.
T1029	CAUSE_EFFECT_RELATION 7988 8086	This value shall be used if the AMP Controller is present and can be powered up by the AMP Manager
T1030	ROOT_SENTENCE 7988 8087	This value shall be used if the AMP Controller is present and can be powered up by the AMP Manager.
T643	CAUSE_EFFECT_RELATION 10462 10520	If the PDU contains an FCS error, then it shall be ignored
T644	ROOT_SENTENCE 10462 10521	If the PDU contains an FCS error, then it shall be ignored.
T523	ROOT_SENTENCE 11333 11477	If the DCID is not recognized by the receiver of this message, a CommandReject message with ’invalid CID’ result code shall be sent in response.
T524	STATEMENT 11557 11597	the request should be silently discarded
T525	AND 11482 11555	the receiver finds a DCID match but the SCID fails to find the same match
T526	CAUSE 11479 11555	If the receiver finds a DCID match but the SCID fails to find the same match
T527	CAUSE_EFFECT_RELATION 11479 11597	If the receiver finds a DCID match but the SCID fails to find the same match, the request should be silently discarded
T528	ROOT_SENTENCE 11479 11598	If the receiver finds a DCID match but the SCID fails to find the same match, the request should be silently discarded.
