T1	VARIABLE 35 47	extra audits
T910	STATEMENT 7593 7715	the period of validity is indefinite and takes effect from the date on which the success- ful verification programme ended
T911	CAUSE_EFFECT_RELATION 7522 7715	When there are no changes to the Process Identification Document (PID) the period of validity is indefinite and takes effect from the date on which the success- ful verification programme ended
T912	ROOT_SENTENCE 7522 7716	When there are no changes to the Process Identification Document (PID) the period of validity is indefinite and takes effect from the date on which the success- ful verification programme ended.
T914	VARIABLE 7166 7207	The DTGS (deuterated triglycine sulphate)
T915	CONDITION 7208 7236	is a pyroelectrical detector
T916	CONDITION 7237 7285	that generates an electric charge on its surface
T917	KEY_C 7286 7290	when
T918	VARIABLE 7291 7306	the temperature
T919	CONDITION 7307 7317	is changed
T920	STATEMENT 7291 7317	the temperature is changed
T921	CAUSE 7286 7317	when the temperature is changed
T922	AND 7208 7285	is a pyroelectrical detector that generates an electric charge on its surface
T923	STATEMENT 7166 7285	The DTGS (deuterated triglycine sulphate) is a pyroelectrical detector that generates an electric charge on its surface
T924	CAUSE_EFFECT_RELATION 7166 7317	The DTGS (deuterated triglycine sulphate) is a pyroelectrical detector that generates an electric charge on its surface when the temperature is changed
T925	ROOT_SENTENCE 7166 7318	The DTGS (deuterated triglycine sulphate) is a pyroelectrical detector that generates an electric charge on its surface when the temperature is changed.
T926	VARIABLE 7017 7021	This
T927	CONDITION 7022 7049	results in an interferogram
T928	CONDITION 7050 7097	with the highest signal intensity in the centre
T929	AND 7022 7097	results in an interferogram with the highest signal intensity in the centre
T930	STATEMENT 7017 7097	This results in an interferogram with the highest signal intensity in the centre
T931	KEY_C 7098 7102	when
T932	VARIABLE 7103 7115	both mirrors
T933	CONDITION 7116 7163	are at an equal distance from the beam splitter
T934	STATEMENT 7103 7163	both mirrors are at an equal distance from the beam splitter
T935	CAUSE 7098 7163	when both mirrors are at an equal distance from the beam splitter
T936	CAUSE_EFFECT_RELATION 7017 7163	This results in an interferogram with the highest signal intensity in the centre when both mirrors are at an equal distance from the beam splitter
T937	ROOT_SENTENCE 7017 7164	This results in an interferogram with the highest signal intensity in the centre when both mirrors are at an equal distance from the beam splitter.
T938	KEY_C 6858 6862	When
T939	VARIABLE 6863 6873	the wiping
T940	VARIABLE 6878 6896	rinsing procedures
T941	CONDITION 6897 6910	are performed
T942	VARIABLE 6912 6920	a record
T943	CONDITION 6921 6964	should be kept of the sample identification
T944	CONDITION 6969 7014	all the information relevant for the analysis
T945	AND 6921 7014	should be kept of the sample identification and all the information relevant for the analysis
T946	STATEMENT 6912 7014	a record should be kept of the sample identification and all the information relevant for the analysis
T947	AND 6863 6896	the wiping and rinsing procedures
T948	STATEMENT 6863 6910	the wiping and rinsing procedures are performed
T949	CAUSE 6858 6910	When the wiping and rinsing procedures are performed
T950	CAUSE_EFFECT_RELATION 6858 7014	When the wiping and rinsing procedures are performed, a record should be kept of the sample identification and all the information relevant for the analysis
T951	ROOT_SENTENCE 6858 7015	When the wiping and rinsing procedures are performed, a record should be kept of the sample identification and all the information relevant for the analysis.
T952	KEY_C 6771 6775	When
T953	VARIABLE 6776 6786	performing
T954	CONDITION 6787 6797	a wet wipe
T955	VARIABLE 6799 6809	the tissue
T956	CONDITION 6810 6855	is moistened with the solvent prior to wiping
T957	STATEMENT 6799 6855	the tissue is moistened with the solvent prior to wiping
T958	STATEMENT 6776 6797	performing a wet wipe
T959	CAUSE 6771 6797	When performing a wet wipe
T960	CAUSE_EFFECT_RELATION 6771 6855	When performing a wet wipe, the tissue is moistened with the solvent prior to wiping
T962	VARIABLE 6586 6604	The rinsing method
T963	CONDITION 6605 6621	can only be used
T964	KEY_C 6622 6626	when
T965	VARIABLE 6627 6646	the rinsing solvent
T966	CONDITION 6647 6663	can be collected
T967	CONDITION 6665 6673	directly
T968	CONDITION 6677 6712	by being absorbed in a clean tissue
T969	KEY_C 6164 6168	When
T970	VARIABLE 6169 6178	molecules
T971	CONDITION 6179 6206	are adsorbed onto a surface
T972	VARIABLE 6208 6231	the surface temperature
T973	VARIABLE 6233 6259	the environmental pressure
T974	VARIABLE 6272 6310	the vapour pressure of the contaminant
T975	CONDITION 6312 6375	influence the time that the molecule is resident on the surface
T976	AND 6233 6310	the environmental pressure, as well as the vapour pressure of the contaminant
T977	AND 6208 6310	the surface temperature, the environmental pressure, as well as the vapour pressure of the contaminant
T978	STATEMENT 6208 6375	the surface temperature, the environmental pressure, as well as the vapour pressure of the contaminant, influence the time that the molecule is resident on the surface
T979	STATEMENT 6169 6206	molecules are adsorbed onto a surface
T980	CAUSE 6164 6206	When molecules are adsorbed onto a surface
T981	CAUSE_EFFECT_RELATION 6164 6375	When molecules are adsorbed onto a surface, the surface temperature, the environmental pressure, as well as the vapour pressure of the contaminant, influence the time that the molecule is resident on the surface
T982	ROOT_SENTENCE 6164 6376	When molecules are adsorbed onto a surface, the surface temperature, the environmental pressure, as well as the vapour pressure of the contaminant, influence the time that the molecule is resident on the surface.
T679	STATEMENT 3909 3988	transient or surge rating values are specified in the procurement specification
T680	KEY_C 6718 6722	when
T681	VARIABLE 6723 6734	the surface
T682	CONDITION 6735 6768	is compatible to the solvent used
T683	STATEMENT 6723 6768	the surface is compatible to the solvent used
T684	CAUSE 6718 6768	when the surface is compatible to the solvent used
T749	OR 6665 6712	directly or by being absorbed in a clean tissue
T750	AND 6647 6712	can be collected, directly or by being absorbed in a clean tissue
T751	STATEMENT 6627 6712	the rinsing solvent can be collected, directly or by being absorbed in a clean tissue
T752	CAUSE 6622 6712	when the rinsing solvent can be collected, directly or by being absorbed in a clean tissue
T753	AND 6622 6768	when the rinsing solvent can be collected, directly or by being absorbed in a clean tissue, and when the surface is compatible to the solvent used
T754	STATEMENT 6586 6621	The rinsing method can only be used
T755	CAUSE_EFFECT_RELATION 6586 6768	The rinsing method can only be used when the rinsing solvent can be collected, directly or by being absorbed in a clean tissue, and when the surface is compatible to the solvent used
T756	ROOT_SENTENCE 6586 6769	The rinsing method can only be used when the rinsing solvent can be collected, directly or by being absorbed in a clean tissue, and when the surface is compatible to the solvent used.
T225	ROOT_SENTENCE 6771 6856	When performing a wet wipe, the tissue is moistened with the solvent prior to wiping.
