T1	VARIABLE 0 4	This
T819	CAUSE 12147 12203	when non‐binary modulation schemes such as QPSK are used
T820	CAUSE_EFFECT_RELATION 12065 12203	The convolutional code, by itself, cannot guarantee sufficient symbol transitions when non‐binary modulation schemes such as QPSK are used
T821	NONE_CAUSAL 12412 12425	In particular
T822	VARIABLE 12427 12431	this
T823	CONDITION 12432 12442	can happen
T824	KEY_C 12443 12447	when
T825	VARIABLE 12448 12487	the Reed‐ Solomon interleaving depth, I
T826	CONDITION 12489 12493	is 5
T827	STATEMENT 12448 12493	the Reed‐ Solomon interleaving depth, I, is 5
T828	CAUSE 12443 12493	when the Reed‐ Solomon interleaving depth, I, is 5
T829	STATEMENT 12427 12442	this can happen
T830	CAUSE_EFFECT_RELATION 12427 12493	this can happen when the Reed‐ Solomon interleaving depth, I, is 5
T831	ROOT_SENTENCE 12412 12494	In particular, this can happen when the Reed‐ Solomon interleaving depth, I, is 5.
T832	KEY_C 12496 12500	When
T833	VARIABLE 12501 12505	used
T834	CONDITION 12506 12521	with R‐S coding
T835	STATEMENT 12501 12521	used with R‐S coding
T836	CAUSE 12496 12521	When used with R‐S coding
T837	VARIABLE 12523 12545	only specified lengths
T838	CONDITION 12546 12596	can be contained within the codeblock’s data space
T839	STATEMENT 12523 12596	only specified lengths can be contained within the codeblock’s data space
T840	CAUSE_EFFECT_RELATION 12496 12596	When used with R‐S coding, only specified lengths can be contained within the codeblock’s data space
T841	ROOT_SENTENCE 12496 12597	When used with R‐S coding, only specified lengths can be contained within the codeblock’s data space.
T842	NONE_CAUSAL 12599 12610	For example
T843	KEY_C 12612 12616	when
T844	VARIABLE 12617 12621	E=16
T845	VARIABLE 12626 12629	I=5
T846	AND 12617 12629	E=16 and I=5
T847	CAUSE 12612 12629	when E=16 and I=5
T848	KEY_C 12631 12635	then
T849	VARIABLE 12636 12676	the length occupied by the check symbols
T850	CONDITION 12677 12696	is always 1280 bits
T851	STATEMENT 12636 12696	the length occupied by the check symbols is always 1280 bits
T852	EFFECT 12631 12696	then the length occupied by the check symbols is always 1280 bits
T853	CAUSE_EFFECT_RELATION 12612 12696	when E=16 and I=5, then the length occupied by the check symbols is always 1280 bits
T854	ROOT_SENTENCE 12599 12697	For example, when E=16 and I=5, then the length occupied by the check symbols is always 1280 bits.
T855	NONE_CAUSAL 12699 12710	For example
T856	KEY_C 12712 12716	when
T857	VARIABLE 12717 12721	E=16
T858	VARIABLE 12723 12728	k=223
T859	VARIABLE 12733 12736	I=5
T860	AND 12723 12736	k=223 and I=5
T861	AND 12717 12736	E=16, k=223 and I=5
T862	CAUSE 12712 12736	when E=16, k=223 and I=5
T863	VARIABLE 12738 12777	the length of the transmitted codeblock
T864	CONDITION 12778 12792	is 10 200 bits
T865	NONE_CAUSAL 12824 12835	For example
T866	KEY_C 12837 12841	when
T867	VARIABLE 12842 12846	E=16
T868	VARIABLE 12848 12853	k=223
T869	VARIABLE 12858 12861	I=5
T870	AND 12848 12861	k=223 and I=5
T871	AND 12842 12861	E=16, k=223 and I=5
T872	CAUSE 12837 12861	when E=16, k=223 and I=5
T873	VARIABLE 12863 12884	the logical codeblock
T874	CONDITION 12885 12935	always appears to be exactly 10 200 bits in length
T875	STATEMENT 12863 12935	the logical codeblock always appears to be exactly 10 200 bits in length
T876	CAUSE_EFFECT_RELATION 12837 12935	when E=16, k=223 and I=5, the logical codeblock always appears to be exactly 10 200 bits in length
T877	ROOT_SENTENCE 12824 12936	For example, when E=16, k=223 and I=5, the logical codeblock always appears to be exactly 10 200 bits in length.
T878	KEY_C 12938 12942	When
T879	VARIABLE 12943 12997	an encoder (initially cleared at the start of a block)
T880	KEY_C 13228 13232	When
T881	VARIABLE 13233 13245	Reed‐Solomon
T882	CONDITION 13246 13262	with E=8 is used
T883	KEY_C 13264 13268	then
T884	VARIABLE 13269 13301	the requirements in clause 6.4.2
T885	CONDITION 13302 13307	apply
T886	STATEMENT 13269 13307	the requirements in clause 6.4.2 apply
T887	EFFECT 13264 13307	then the requirements in clause 6.4.2 apply
T888	STATEMENT 13233 13262	Reed‐Solomon with E=8 is used
T889	CAUSE 13228 13262	When Reed‐Solomon with E=8 is used
T890	CAUSE_EFFECT_RELATION 13228 13307	When Reed‐Solomon with E=8 is used, then the requirements in clause 6.4.2 apply
T891	ROOT_SENTENCE 13228 13308	When Reed‐Solomon with E=8 is used, then the requirements in clause 6.4.2 apply.
T892	KEY_C 13310 13314	When
T893	VARIABLE 13315 13320	using
T894	CONDITION 13321 13347	a conventional R‐S encoder
T895	VARIABLE 13349 13355	a pre-
T896	VARIABLE 13360 13379	post‐transformation
T897	AND 13349 13379	a pre‐ and post‐transformation
T898	CONDITION 13380 13390	is applied
T899	STATEMENT 13349 13390	a pre‐ and post‐transformation is applied
T900	STATEMENT 13315 13347	using a conventional R‐S encoder
T901	CAUSE 13310 13347	When using a conventional R‐S encoder
T902	CAUSE_EFFECT_RELATION 13310 13390	When using a conventional R‐S encoder, a pre‐ and post‐transformation is applied
T903	ROOT_SENTENCE 13310 13391	When using a conventional R‐S encoder, a pre‐ and post‐transformation is applied.
T904	KEY_C 13513 13517	When
T905	VARIABLE 13518 13531	a transponder
T906	CONDITION 13532 13563	is used exclusively for ranging
T907	VARIABLE 14196 14209	NRZ waveforms
T908	CONDITION 14210 14228	shall only be used
T909	KEY_C 14229 14233	when
T910	VARIABLE 14234 14243	modulated
T911	CONDITION 14244 14261	onto a subcarrier
T912	STATEMENT 14234 14261	modulated onto a subcarrier
T913	CAUSE 14229 14261	when modulated onto a subcarrier
T914	STATEMENT 14196 14228	NRZ waveforms shall only be used
T915	CAUSE_EFFECT_RELATION 14196 14261	NRZ waveforms shall only be used when modulated onto a subcarrier
T916	ROOT_SENTENCE 14196 14262	NRZ waveforms shall only be used when modulated onto a subcarrier.
T917	KEY_C 14370 14374	When
T918	VARIABLE 14375 14403	the specifications in 6.1.5a
T919	VARIABLE 14408 14414	6.1.5b
T920	AND 14375 14414	the specifications in 6.1.5a and 6.1.5b
T921	CONDITION 14423 14463	ensured for the channel by other methods
T922	NEGATION 14415 14463	are not ensured for the channel by other methods
T923	STATEMENT 14375 14463	the specifications in 6.1.5a and 6.1.5b are not ensured for the channel by other methods
T924	CAUSE 14370 14463	When the specifications in 6.1.5a and 6.1.5b are not ensured for the channel by other methods
T925	VARIABLE 14465 14529	a pseudo‐randomizer in conformance with ECSS‐E‐ST‐50‐01 clause 9
T926	CONDITION 14530 14543	shall be used
T927	STATEMENT 14465 14543	a pseudo‐randomizer in conformance with ECSS‐E‐ST‐50‐01 clause 9 shall be used
T928	CAUSE_EFFECT_RELATION 14370 14543	When the specifications in 6.1.5a and 6.1.5b are not ensured for the channel by other methods, a pseudo‐randomizer in conformance with ECSS‐E‐ST‐50‐01 clause 9 shall be used
T929	ROOT_SENTENCE 14370 14544	When the specifications in 6.1.5a and 6.1.5b are not ensured for the channel by other methods, a pseudo‐randomizer in conformance with ECSS‐E‐ST‐50‐01 clause 9 shall be used.
T930	KEY_C 14546 14550	When
T931	VARIABLE 14551 14554	two
T932	VARIABLE 14558 14571	more channels
T933	OR 14551 14571	two or more channels
T934	CONDITION 14572 14627	are transmitted simultaneously on the Earth‐ space link
T935	VARIABLE 14629 14663	the combined peak modulation index
T936	VARIABLE 14665 14674	resulting
T937	CONDITION 14675 14714	from the linear sum of the peak indexes
T938	NONE_CAUSAL 14665 14714	resulting from the linear sum of the peak indexes
T939	CONDITION 14727 14742	exceed 1,75 rad
T940	NEGATION 14716 14742	should not exceed 1,75 rad
T941	STATEMENT 14629 14742	the combined peak modulation index (resulting from the linear sum of the peak indexes) should not exceed 1,75 rad
T942	STATEMENT 14551 14627	two or more channels are transmitted simultaneously on the Earth‐ space link
T943	CAUSE 14546 14627	When two or more channels are transmitted simultaneously on the Earth‐ space link
T944	CAUSE_EFFECT_RELATION 14546 14742	When two or more channels are transmitted simultaneously on the Earth‐ space link, the combined peak modulation index (resulting from the linear sum of the peak indexes) should not exceed 1,75 rad
T945	ROOT_SENTENCE 14546 14743	When two or more channels are transmitted simultaneously on the Earth‐ space link, the combined peak modulation index (resulting from the linear sum of the peak indexes) should not exceed 1,75 rad.
T45	KEY_C 5343 5347	when
T46	VARIABLE 5348 5370	connected to the setup
T47	CAUSE 5343 5370	when connected to the setup
T48	STATEMENT 5262 5342	it shall be ensured that the active load meets the ambient requirements of 5.2.2
T49	CAUSE_EFFECT_RELATION 5262 5370	it shall be ensured that the active load meets the ambient requirements of 5.2.2 when connected to the setup
T301	CONDITION 5376 5439	that the active load does not respond to susceptibility signals
T948	AND 5262 5439	it shall be ensured that the active load meets the ambient requirements of 5.2.2 when connected to the setup, and that the active load does not respond to susceptibility signals
T949	CAUSE_EFFECT_RELATION 5222 5439	When active electrical loading is used, it shall be ensured that the active load meets the ambient requirements of 5.2.2 when connected to the setup, and that the active load does not respond to susceptibility signals
T950	ROOT_SENTENCE 5222 5440	When active electrical loading is used, it shall be ensured that the active load meets the ambient requirements of 5.2.2 when connected to the setup, and that the active load does not respond to susceptibility signals.
T951	CONDITION 12998 13043	receives kIQ symbols representing information
T952	VARIABLE 13051 13052	Q
T953	CONDITION 13054 13071	representing fill
T954	CONDITION 13073 13091	is a multiple of I
T955	CONDITION 13097 13112	is less than kI
T956	AND 13073 13112	is a multiple of I, and is less than kI
T957	AND 13054 13112	representing fill, is a multiple of I, and is less than kI
T958	STATEMENT 13051 13112	Q, representing fill, is a multiple of I, and is less than kI
T959	KEY_C 13045 13050	where
T960	CAUSE 13044 13113	(where Q, representing fill, is a multiple of I, and is less than kI)
T961	STATEMENT 12943 13043	an encoder (initially cleared at the start of a block) receives kIQ symbols representing information
T962	CAUSE 12938 13043	When an encoder (initially cleared at the start of a block) receives kIQ symbols representing information
T963	VARIABLE 13115 13132	2EI check symbols
T964	CONDITION 13133 13161	are computed over kI symbols
T965	STATEMENT 13115 13161	2EI check symbols are computed over kI symbols
T966	AND 12938 13113	When an encoder (initially cleared at the start of a block) receives kIQ symbols representing information (where Q, representing fill, is a multiple of I, and is less than kI)
T967	VARIABLE 13172 13193	the leading Q symbols
T968	CONDITION 13194 13225	are treated as all‐zero symbols
T969	KEY_C 13163 13171	of which
T970	STATEMENT 13172 13225	the leading Q symbols are treated as all‐zero symbols
T971	EFFECT 13163 13225	of which the leading Q symbols are treated as all‐zero symbols
T972	AND 13115 13225	2EI check symbols are computed over kI symbols, of which the leading Q symbols are treated as all‐zero symbols
T973	CAUSE_EFFECT_RELATION 12938 13225	When an encoder (initially cleared at the start of a block) receives kIQ symbols representing information (where Q, representing fill, is a multiple of I, and is less than kI), 2EI check symbols are computed over kI symbols, of which the leading Q symbols are treated as all‐zero symbols
T974	ROOT_SENTENCE 12938 13226	When an encoder (initially cleared at the start of a block) receives kIQ symbols representing information (where Q, representing fill, is a multiple of I, and is less than kI), 2EI check symbols are computed over kI symbols, of which the leading Q symbols are treated as all‐zero symbols.
T975	VARIABLE 14044 14054	Spacecraft
T976	CONDITION 14055 14097	shall limit their transmission of RF power
T977	CONDITION 14098 14115	towards the Earth
T978	KEY_C 14116 14135	to the periods when
T979	VARIABLE 14136 14154	telecommunications
T980	VARIABLE 14158 14177	tracking operations
T981	CONDITION 14178 14193	are carried out
T982	OR 14136 14177	telecommunications or tracking operations
T983	STATEMENT 14136 14193	telecommunications or tracking operations are carried out
T984	CAUSE 14116 14193	to the periods when telecommunications or tracking operations are carried out
T985	AND 14055 14115	shall limit their transmission of RF power towards the Earth
T986	STATEMENT 14044 14115	Spacecraft shall limit their transmission of RF power towards the Earth
T987	CAUSE_EFFECT_RELATION 14044 14193	Spacecraft shall limit their transmission of RF power towards the Earth to the periods when telecommunications or tracking operations are carried out
T988	ROOT_SENTENCE 14044 14194	Spacecraft shall limit their transmission of RF power towards the Earth to the periods when telecommunications or tracking operations are carried out.
T989	KEY_C 14902 14906	When
T990	VARIABLE 14907 14936	the status of the transponder
T991	CONDITION 14937 14961	changes between coherent
T992	CONDITION 14966 14979	non‐ coherent
T993	VARIABLE 14985 15013	the resulting frequency step
T994	CONDITION 15014 15037	in the space‐Earth link
T995	CONDITION 15038 15064	causes a loss of telemetry
T996	VARIABLE 15066 15083	a new acquisition
T997	CONDITION 15084 15107	of the space‐Earth link
T998	CONDITION 15108 15126	shall be performed
T999	AND 15084 15126	of the space‐Earth link shall be performed
T1000	STATEMENT 15066 15126	a new acquisition of the space‐Earth link shall be performed
T1001	AND 15014 15064	in the space‐Earth link causes a loss of telemetry
T1002	STATEMENT 14985 15064	the resulting frequency step in the space‐Earth link causes a loss of telemetry
T1003	AND 14937 14979	changes between coherent and non‐ coherent
T1004	STATEMENT 14907 14979	the status of the transponder changes between coherent and non‐ coherent
T1005	AND 14907 15064	the status of the transponder changes between coherent and non‐ coherent, and the resulting frequency step in the space‐Earth link causes a loss of telemetry
T1006	CAUSE 14902 15064	When the status of the transponder changes between coherent and non‐ coherent, and the resulting frequency step in the space‐Earth link causes a loss of telemetry
T1007	CAUSE_EFFECT_RELATION 14902 15126	When the status of the transponder changes between coherent and non‐ coherent, and the resulting frequency step in the space‐Earth link causes a loss of telemetry, a new acquisition of the space‐Earth link shall be performed
T1008	ROOT_SENTENCE 14902 15127	When the status of the transponder changes between coherent and non‐ coherent, and the resulting frequency step in the space‐Earth link causes a loss of telemetry, a new acquisition of the space‐Earth link shall be performed.
T32	VARIABLE 13565 13581	the requirements
T33	CONDITION 13582 13598	in this standard
T34	CONDITION 13599 13634	concerning sharing with telecommand
T946	CONDITION 13639 13648	telemetry
T1009	NEGATION 13649 13666	have no relevance
T1014	KEY_C 4521 4523	In
T1015	CONDITION 4524 4534	unshielded
T1016	VARIABLE 4535 4540	sites
T1017	CAUSE_EFFECT_RELATION 4521 4649	In unshielded sites, the tests are performed during times and conditions when the electromagnetic ambient is at its lowest level
T1018	CAUSE_EFFECT_RELATION 10535 10636	Cross check analysis shall be performed when flight conditions cannot be reproduced by ground testing
T1019	ROOT_SENTENCE 10535 10637	Cross check analysis shall be performed when flight conditions cannot be reproduced by ground testing.
T784	VARIABLE 12801 12813	virtual fill
T785	CONDITION 12814 12821	is used
T786	STATEMENT 12801 12821	virtual fill is used
T1020	NEGATION 12794 12821	unless virtual fill is used
T1021	CAUSE_EFFECT_RELATION 12738 12821	the length of the transmitted codeblock is 10 200 bits, unless virtual fill is used
T1022	STATEMENT 12738 12792	the length of the transmitted codeblock is 10 200 bits
T1023	CAUSE_EFFECT_RELATION 12712 12821	when E=16, k=223 and I=5, the length of the transmitted codeblock is 10 200 bits, unless virtual fill is used
T1024	ROOT_SENTENCE 12699 12822	For example, when E=16, k=223 and I=5, the length of the transmitted codeblock is 10 200 bits, unless virtual fill is used.
T1025	STATEMENT 13518 13563	a transponder is used exclusively for ranging
T1026	CAUSE 13513 13563	When a transponder is used exclusively for ranging
T1027	AND 13599 13648	concerning sharing with telecommand and telemetry
T1028	AND 13582 13648	in this standard concerning sharing with telecommand and telemetry
T1029	STATEMENT 13565 13648	the requirements in this standard concerning sharing with telecommand and telemetry
T1030	AND 13513 13648	When a transponder is used exclusively for ranging, the requirements in this standard concerning sharing with telecommand and telemetry
T1031	CAUSE_EFFECT_RELATION 13513 13666	When a transponder is used exclusively for ranging, the requirements in this standard concerning sharing with telecommand and telemetry have no relevance
T1032	ROOT_SENTENCE 13513 13667	When a transponder is used exclusively for ranging, the requirements in this standard concerning sharing with telecommand and telemetry have no relevance.
T13	ROOT_SENTENCE 12065 12204	The convolutional code, by itself, cannot guarantee sufficient symbol transitions when non‐binary modulation schemes such as QPSK are used.
