T1	VARIABLE 0 8	The user
T935	CAUSE 10624 10649	if both operands are TRUE
T936	STATEMENT 10608 10623	It returns TRUE
T937	AND 10624 10676	if both operands are TRUE otherwise it returns FALSE
T938	CAUSE_EFFECT_RELATION 10608 10676	It returns TRUE if both operands are TRUE otherwise it returns FALSE
T939	ROOT_SENTENCE 10608 10677	It returns TRUE if both operands are TRUE otherwise it returns FALSE.
T940	NEGATION 2647 2663	is not supported
T277	CONDITION 8589 8703	will pass information to the upper layer on which parts of the L2CAP SDU (i.e., which L2CAP frames) have been lost
T278	CONDITION 8705 8727	failed the error check
T279	CONDITION 8732 8754	passed the error check
T280	OR 8705 8754	failed the error check, or passed the error check
T941	OR 8589 8754	will pass information to the upper layer on which parts of the L2CAP SDU (i.e., which L2CAP frames) have been lost, failed the error check, or passed the error check
T942	STATEMENT 8570 8754	the receiving side will pass information to the upper layer on which parts of the L2CAP SDU (i.e., which L2CAP frames) have been lost, failed the error check, or passed the error check
T943	CAUSE_EFFECT_RELATION 8522 8754	If delivery of erroneous L2CAP SDUs is enabled, the receiving side will pass information to the upper layer on which parts of the L2CAP SDU (i.e., which L2CAP frames) have been lost, failed the error check, or passed the error check
T944	ROOT_SENTENCE 8522 8755	If delivery of erroneous L2CAP SDUs is enabled, the receiving side will pass information to the upper layer on which parts of the L2CAP SDU (i.e., which L2CAP frames) have been lost, failed the error check, or passed the error check.
