T1	VARIABLE 3 12	the check
T902	CONDITION 10218 10265	shall be cut in sections from the top downwards
T903	STATEMENT 10212 10265	trees shall be cut in sections from the top downwards
T904	CAUSE 10198 10210	If necessary
T905	CAUSE_EFFECT_RELATION 10198 10265	If necessary, trees shall be cut in sections from the top downwards
T906	ROOT_SENTENCE 10198 10266	If necessary, trees shall be cut in sections from the top downwards.
T907	KEY_C 10268 10270	If
T908	CONDITION 10275 10291	used immediately
T909	VARIABLE 10293 10304	the topsoil
T910	CONDITION 10305 10325	shall be transported
T911	CONDITION 10330 10367	deposited in stockpiles for later use
T912	AND 10305 10367	shall be transported and deposited in stockpiles for later use
T913	STATEMENT 10293 10367	the topsoil shall be transported and deposited in stockpiles for later use
T914	CAUSE 10268 10291	If not used immediately
T915	CAUSE_EFFECT_RELATION 10268 10367	If not used immediately, the topsoil shall be transported and deposited in stockpiles for later use
T916	ROOT_SENTENCE 10268 10368	If not used immediately, the topsoil shall be transported and deposited in stockpiles for later use.
T917	KEY_C 10370 10372	If
T918	VARIABLE 10373 10378	rocks
T919	VARIABLE 10382 10390	boulders
T920	OR 10373 10390	rocks or boulders
T921	CONDITION 10391 10418	are found during excavation
T922	STATEMENT 10373 10418	rocks or boulders are found during excavation
T923	CAUSE 10370 10418	If rocks or boulders are found during excavation
T924	VARIABLE 10420 10424	they
T925	CONDITION 10425 10442	should be removed
T926	VARIABLE 10447 10461	the bed trench
T927	CONDITION 10462 10479	shall be levelled
T928	CONDITION 10484 10520	made hard by consolidating the earth
T929	AND 10462 10520	shall be levelled and made hard by consolidating the earth
T930	STATEMENT 10420 10442	they should be removed
T931	NONE_CAUSAL 10522 10538	at no extra cost
T932	STATEMENT 10447 10520	the bed trench shall be levelled and made hard by consolidating the earth
T933	AND 10420 10520	they should be removed and the bed trench shall be levelled and made hard by consolidating the earth
T934	CAUSE_EFFECT_RELATION 10370 10520	If rocks or boulders are found during excavation, they should be removed and the bed trench shall be levelled and made hard by consolidating the earth
T935	ROOT_SENTENCE 10370 10539	If rocks or boulders are found during excavation, they should be removed and the bed trench shall be levelled and made hard by consolidating the earth, at no extra cost.
T936	KEY_C 10541 10543	If
T937	VARIABLE 10544 10555	hand-mixing
T938	CONDITION 10556 10566	is allowed
T939	VARIABLE 10568 10581	the operation
T940	CONDITION 10582 10633	shall be carried out on a clear watertight platform
T941	STATEMENT 10568 10633	the operation shall be carried out on a clear watertight platform
T942	STATEMENT 10544 10566	hand-mixing is allowed
T943	CAUSE 10541 10566	If hand-mixing is allowed
T944	CAUSE_EFFECT_RELATION 10541 10633	If hand-mixing is allowed, the operation shall be carried out on a clear watertight platform
T945	ROOT_SENTENCE 10541 10634	If hand-mixing is allowed, the operation shall be carried out on a clear watertight platform.
T946	KEY_C 10636 10638	If
T947	VARIABLE 10639 10647	boulders
T948	CONDITION 10648 10656	are used
T949	VARIABLE 10658 10662	they
T950	CONDITION 10663 10698	shall be broken into angular pieces
T951	STATEMENT 10658 10698	they shall be broken into angular pieces
T952	STATEMENT 10639 10656	boulders are used
T953	CAUSE 10636 10656	If boulders are used
T954	CAUSE_EFFECT_RELATION 10636 10698	If boulders are used, they shall be broken into angular pieces
T955	ROOT_SENTENCE 10636 10699	If boulders are used, they shall be broken into angular pieces.
T956	KEY_C 10701 10703	If
T957	VARIABLE 10704 10724	the volume of spalls
T958	VARIABLE 10729 10736	mortars
T959	AND 10704 10736	the volume of spalls and mortars
T960	CONDITION 10737 10770	is more than the specified volume
T961	VARIABLE 10775 10785	the joints
T962	CONDITION 10794 10823	filled completely with mortar
T963	NEGATION 10786 10823	are not filled completely with mortar
T964	STATEMENT 10775 10823	the joints are not filled completely with mortar
T965	STATEMENT 10704 10770	the volume of spalls and mortars is more than the specified volume
T966	AND 10704 10823	the volume of spalls and mortars is more than the specified volume and the joints are not filled completely with mortar
T967	CAUSE 10701 10823	If the volume of spalls and mortars is more than the specified volume and the joints are not filled completely with mortar
T968	KEY_C 10825 10829	then
T969	VARIABLE 10830 10845	the entire work
T970	VARIABLE 10852 10862	the sample
T971	VARIABLE 10867 10871	test
T972	CONDITION 10882 10899	shall be rejected
T973	CONDITION 10872 10881	represent
T974	AND 10852 10871	the sample and test
T975	STATEMENT 10852 10881	the sample and test represent
T976	AND 10830 10881	the entire work which the sample and test represent
T977	EFFECT 10825 10899	then the entire work which the sample and test represent shall be rejected
T978	CAUSE_EFFECT_RELATION 10701 10899	If the volume of spalls and mortars is more than the specified volume and the joints are not filled completely with mortar, then the entire work which the sample and test represent shall be rejected
T979	ROOT_SENTENCE 10701 10900	If the volume of spalls and mortars is more than the specified volume and the joints are not filled completely with mortar, then the entire work which the sample and test represent shall be rejected.
T980	KEY_C 10902 10904	If
T981	VARIABLE 10905 10916	bulk cement
T982	CONDITION 10917 10924	is used
T983	VARIABLE 10926 10935	the scale
T984	VARIABLE 10940 10964	weight hopper for cement
T985	CONDITION 10965 10997	shall be distinct from the scale
T986	CONDITION 11002 11030	weight hopper for aggregates
T987	AND 10965 11030	shall be distinct from the scale and weight hopper for aggregates
T988	AND 10926 10964	the scale and weight hopper for cement
T989	STATEMENT 10926 11030	the scale and weight hopper for cement shall be distinct from the scale and weight hopper for aggregates
T990	STATEMENT 10905 10924	bulk cement is used
T991	CAUSE 10902 10924	If bulk cement is used
T992	CAUSE_EFFECT_RELATION 10902 11030	If bulk cement is used, the scale and weight hopper for cement shall be distinct from the scale and weight hopper for aggregates
T993	ROOT_SENTENCE 10902 11031	If bulk cement is used, the scale and weight hopper for cement shall be distinct from the scale and weight hopper for aggregates.
T994	KEY_C 11033 11035	If
T995	VARIABLE 11036 11048	any fissures
T996	CONDITION 11049 11070	have been cleaned out
T997	VARIABLE 11072 11076	they
T998	CONDITION 11077 11104	shall be filled with mortar
T999	CONDITION 11108 11151	with concrete as instructed by the Engineer
T1000	OR 11077 11151	shall be filled with mortar or with concrete as instructed by the Engineer
T1001	STATEMENT 11072 11151	they shall be filled with mortar or with concrete as instructed by the Engineer
T1002	STATEMENT 11036 11070	any fissures have been cleaned out
T1003	CAUSE 11033 11070	If any fissures have been cleaned out
T1004	CAUSE_EFFECT_RELATION 11033 11151	If any fissures have been cleaned out, they shall be filled with mortar or with concrete as instructed by the Engineer
T1005	ROOT_SENTENCE 11033 11152	If any fissures have been cleaned out, they shall be filled with mortar or with concrete as instructed by the Engineer.
T1006	KEY_C 11154 11156	If
T1007	VARIABLE 11157 11195	the level of concrete in a tremie pipe
T1008	CONDITION 11196 11260	is allowed to fall to such extent that the water enters the pipe
T1009	VARIABLE 11262 11272	the latter
T1010	CONDITION 11273 11303	shall be removed from the pour
T1011	CONDITION 11308 11381	filled with concrete before being again lowered into the placing position
T1012	AND 11273 11381	shall be removed from the pour and filled with concrete before being again lowered into the placing position
T1013	STATEMENT 11262 11381	the latter shall be removed from the pour and filled with concrete before being again lowered into the placing position
T1014	STATEMENT 11157 11260	the level of concrete in a tremie pipe is allowed to fall to such extent that the water enters the pipe
T1015	CAUSE 11154 11260	If the level of concrete in a tremie pipe is allowed to fall to such extent that the water enters the pipe
T1016	CAUSE_EFFECT_RELATION 11154 11381	If the level of concrete in a tremie pipe is allowed to fall to such extent that the water enters the pipe, the latter shall be removed from the pour and filled with concrete before being again lowered into the placing position
T1017	ROOT_SENTENCE 11154 11382	If the level of concrete in a tremie pipe is allowed to fall to such extent that the water enters the pipe, the latter shall be removed from the pour and filled with concrete before being again lowered into the placing position.
T1018	NEGATION 9075 9106	refuses to accept user requests
T811	NEGATION 9232 9284	will not allow outside sources to access the product
T1019	NEGATION 10271 10291	not used immediately
T1030	KEY_C 11849 11851	If
T1031	VARIABLE 11852 11878	instructed by the Engineer
T1032	VARIABLE 11880 11907	the surface of the concrete
T1033	CONDITION 11908 12079	shall be thoroughly brushed with a thin layer of mortar composed of one part of cement to two parts of sand by weight immediately prior to the deposition of fresh concrete
T1034	STATEMENT 11880 12079	the surface of the concrete shall be thoroughly brushed with a thin layer of mortar composed of one part of cement to two parts of sand by weight immediately prior to the deposition of fresh concrete
T1035	CAUSE 11849 11878	If instructed by the Engineer
T1036	CAUSE_EFFECT_RELATION 11849 12079	If instructed by the Engineer, the surface of the concrete shall be thoroughly brushed with a thin layer of mortar composed of one part of cement to two parts of sand by weight immediately prior to the deposition of fresh concrete
T1037	ROOT_SENTENCE 11849 12080	If instructed by the Engineer, the surface of the concrete shall be thoroughly brushed with a thin layer of mortar composed of one part of cement to two parts of sand by weight immediately prior to the deposition of fresh concrete.
T1038	KEY_C 12337 12339	If
T1039	VARIABLE 12340 12352	any movement
T1040	CONDITION 12353 12360	noticed
T1041	VARIABLE 12362 12374	the formwork
T1042	CONDITION 12375 12405	shall be set right immediately
T1043	STATEMENT 12362 12405	the formwork shall be set right immediately
T1044	STATEMENT 12340 12360	any movement noticed
T1045	CAUSE 12337 12360	If any movement noticed
T1046	CAUSE_EFFECT_RELATION 12337 12405	If any movement noticed, the formwork shall be set right immediately
T1047	ROOT_SENTENCE 12337 12406	If any movement noticed, the formwork shall be set right immediately.
T1048	KEY_C 12433 12435	if
T1049	VARIABLE 12436 12471	cement other than ordinary Portland
T1050	CONDITION 12472 12484	are involved
T1051	VARIABLE 12486 12498	the Engineer
T1052	CONDITION 12499 12526	may instruct longer periods
T1053	STATEMENT 12486 12526	the Engineer may instruct longer periods
T1054	KEY_C 12408 12410	At
T1055	VARIABLE 12411 12429	lower temperatures
T1056	CAUSE 12408 12429	At lower temperatures
T1057	STATEMENT 12436 12484	cement other than ordinary Portland are involved
T1058	CAUSE 12433 12484	if cement other than ordinary Portland are involved
T1059	OR 12408 12484	At lower temperatures or if cement other than ordinary Portland are involved
T1060	CAUSE_EFFECT_RELATION 12408 12526	At lower temperatures or if cement other than ordinary Portland are involved, the Engineer may instruct longer periods
T1061	ROOT_SENTENCE 12408 12527	At lower temperatures or if cement other than ordinary Portland are involved, the Engineer may instruct longer periods.
T1062	KEY_C 12529 12531	If
T1063	VARIABLE 12532 12542	any damage
T1064	VARIABLE 12546 12569	defects during delivery
T1065	VARIABLE 12573 12598	after fitting in position
T1066	OR 12532 12569	any damage or defects during delivery
T1067	OR 12532 12598	any damage or defects during delivery or after fitting in position
T1068	CONDITION 12599 12608	are found
T1069	STATEMENT 12532 12608	any damage or defects during delivery or after fitting in position are found
T1070	CAUSE 12529 12608	If any damage or defects during delivery or after fitting in position are found
T1071	VARIABLE 12610 12621	the defects
T1072	CONDITION 12622 12652	shall be rectified immediately
T1073	CONDITION 12656 12692	replaced at the Contractor’s expense
T1074	OR 12622 12692	shall be rectified immediately or replaced at the Contractor’s expense
T1075	STATEMENT 12610 12692	the defects shall be rectified immediately or replaced at the Contractor’s expense
T1076	CAUSE_EFFECT_RELATION 12529 12692	If any damage or defects during delivery or after fitting in position are found, the defects shall be rectified immediately or replaced at the Contractor’s expense
T1077	ROOT_SENTENCE 12529 12693	If any damage or defects during delivery or after fitting in position are found, the defects shall be rectified immediately or replaced at the Contractor’s expense.
T1078	VARIABLE 12695 12709	The Contractor
T1079	CONDITION 12710 12748	shall replace the fly mesh immediately
T1080	CONDITION 12749 12770	at no additional cost
T1081	KEY_C 12771 12773	if
T1082	AND 12710 12770	shall replace the fly mesh immediately at no additional cost
T1083	STATEMENT 12695 12770	The Contractor shall replace the fly mesh immediately at no additional cost
T1084	VARIABLE 12774 12786	the fly mesh
T1085	CONDITION 12787 12823	is found to be damaged after fitting
T1086	CONDITION 12828 12846	fixing in position
T1087	AND 12787 12846	is found to be damaged after fitting and fixing in position
T1088	STATEMENT 12774 12846	the fly mesh is found to be damaged after fitting and fixing in position
T1089	CAUSE 12771 12846	if the fly mesh is found to be damaged after fitting and fixing in position
T1090	CAUSE_EFFECT_RELATION 12695 12846	The Contractor shall replace the fly mesh immediately at no additional cost if the fly mesh is found to be damaged after fitting and fixing in position
T1091	ROOT_SENTENCE 12695 12847	The Contractor shall replace the fly mesh immediately at no additional cost if the fly mesh is found to be damaged after fitting and fixing in position.
T1092	KEY_C 12849 12851	If
T1093	VARIABLE 12852 12868	type of pointing
T1094	CONDITION 12876 12900	mentioned on the Drawing
T1095	NEGATION 12869 12900	is not mentioned on the Drawing
T1096	VARIABLE 12901 12909	the same
T1097	CONDITION 12910 12933	shall be ruled pointing
T1098	STATEMENT 12901 12933	the same shall be ruled pointing
T1099	STATEMENT 12852 12900	type of pointing is not mentioned on the Drawing
T1100	CAUSE 12849 12900	If type of pointing is not mentioned on the Drawing
T1101	CAUSE_EFFECT_RELATION 12849 12933	If type of pointing is not mentioned on the Drawing the same shall be ruled pointing
T1102	ROOT_SENTENCE 12849 12934	If type of pointing is not mentioned on the Drawing the same shall be ruled pointing.
T1103	KEY_C 12936 12938	If
T1104	VARIABLE 12939 12952	the old Paint
T1105	CONDITION 12953 12965	is blistered
T1106	CONDITION 12970 12976	flaked
T1107	AND 12953 12976	is blistered and flaked
T1108	STATEMENT 12939 12976	the old Paint is blistered and flaked
T1109	CAUSE 12936 12976	If the old Paint is blistered and flaked
T1110	VARIABLE 12978 12980	it
T1111	CONDITION 12981 13008	shall be completely removed
T1112	STATEMENT 12978 13008	it shall be completely removed
T1113	CAUSE_EFFECT_RELATION 12936 13008	If the old Paint is blistered and flaked, it shall be completely removed
T1114	ROOT_SENTENCE 12936 13009	If the old Paint is blistered and flaked, it shall be completely removed.
T1115	CONDITION 240 261	more scheduling areas
T1116	OR 222 261	exists for one or more scheduling areas
T1117	CONDITION 263 285	between the two values
T1118	AND 222 285	exists for one or more scheduling areas, between the two values
T1119	KEY_C 1155 1160	where
T1120	EFFECT 1155 1296	where it becomes the authoritative address to be relied upon and referred to by consumers and all parties engaged in the retail energy market
T1121	KEY_C 1993 1997	that
T1122	CAUSE 1993 2020	that invalidates the switch
T1123	VARIABLE 3419 3427	the user
T1124	CONDITION 3428 3448	clicks on an antenna
T1125	VARIABLE 3449 3481	plots (bandpass and spectrogram)
T1126	CONDITION 3482 3503	are shown to the user
T1127	KEY_C 3416 3418	If
T1128	STATEMENT 3419 3448	the user clicks on an antenna
T1129	CAUSE 3416 3448	If the user clicks on an antenna
T1130	STATEMENT 3449 3503	plots (bandpass and spectrogram) are shown to the user
T1131	CAUSE_EFFECT_RELATION 3416 3503	If the user clicks on an antenna plots (bandpass and spectrogram) are shown to the user
T1132	ROOT_SENTENCE 3416 3504	If the user clicks on an antenna plots (bandpass and spectrogram) are shown to the user.
T318	CONDITION 5317 5328	CRM related
T1133	CONDITION 9086 9106	accept user requests
T1134	KEY_C 9226 9231	which
T1135	EFFECT 9226 9284	which will not allow outside sources to access the product
T1136	CONDITION 9483 9509	instructed by the Engineer
T1137	OR 9441 9509	are less than what have been specified or instructed by the Engineer
T1138	ROOT_SENTENCE 353 680	If the active power injection in the global slack bus exceeds a configurable threshold, this active power injection shall be redistributed on all generation units in the synchronous area proportional to the reserve margin, respecting the reactive power limits of all the Generating Units and the power flow is calculated again.
T265	ROOT_SENTENCE 3217 3319	If a connection between a TPM and the web application already exists, the existing connection is used.
