T1	VARIABLE 0 10	All timber
T840	CONDITION 6053 6108	shall be delivered by the contractor in accordance with
T844	CONDITION 6109 6121	the contract
T845	OR 6109 6152	the contract or purchase order requirements
T846	OR 5881 5981	the provisions of the DOD FAR clause or data requirements (currently DOD FAR Supplement 52.227-7031)
T847	STATEMENT 5881 5993	the provisions of the DOD FAR clause or data requirements (currently DOD FAR Supplement 52.227-7031) are invoked
T848	NEGATION 6015 6026	is not used
T849	STATEMENT 5998 6026	the DD Form 1423 is not used
T850	AND 5881 6026	the provisions of the DOD FAR clause or data requirements (currently DOD FAR Supplement 52.227-7031) are invoked and the DD Form 1423 is not used
T851	CAUSE 5876 6026	When the provisions of the DOD FAR clause or data requirements (currently DOD FAR Supplement 52.227-7031) are invoked and the DD Form 1423 is not used
T852	CAUSE_EFFECT_RELATION 5876 6152	When the provisions of the DOD FAR clause or data requirements (currently DOD FAR Supplement 52.227-7031) are invoked and the DD Form 1423 is not used, the data specified below shall be delivered by the contractor in accordance with the contract or purchase order requirements
T853	ROOT_SENTENCE 5876 6153	When the provisions of the DOD FAR clause or data requirements (currently DOD FAR Supplement 52.227-7031) are invoked and the DD Form 1423 is not used, the data specified below shall be delivered by the contractor in accordance with the contract or purchase order requirements.
T854	VARIABLE 5673 5687	The contractor
T855	CONDITION 5688 5700	shall detail
T856	CONDITION 5702 5725	on a case-by-case basis
T857	CONDITION 5727 5807	his specific approach to the documentation of modified purchased/vendor software
T858	KEY_C 5808 5812	when
T859	VARIABLE 5813 5815	he
T860	CONDITION 5816 5873	requests Government approval for the use of such software
T861	STATEMENT 5813 5873	he requests Government approval for the use of such software
T862	CAUSE 5808 5873	when he requests Government approval for the use of such software
T863	AND 5702 5807	on a case-by-case basis, his specific approach to the documentation of modified purchased/vendor software
T864	AND 5688 5807	shall detail, on a case-by-case basis, his specific approach to the documentation of modified purchased/vendor software
T865	STATEMENT 5673 5807	The contractor shall detail, on a case-by-case basis, his specific approach to the documentation of modified purchased/vendor software
T866	ROOT_SENTENCE 5673 5874	The contractor shall detail, on a case-by-case basis, his specific approach to the documentation of modified purchased/vendor software when he requests Government approval for the use of such software.
T867	CAUSE_EFFECT_RELATION 5673 5873	The contractor shall detail, on a case-by-case basis, his specific approach to the documentation of modified purchased/vendor software when he requests Government approval for the use of such software
T868	KEY_C 8299 8303	When
T869	VARIABLE 8304 8313	preparing
T870	CONDITION 8314 8422	the verification close‐out document (VCD) against the tailored standard derived from this standard (see D.2)
T871	VARIABLE 8423 8425	it
T872	CONDITION 8433 8494	considered necessary to have a close‐out for all requirements
T873	NEGATION 8426 8494	is not considered necessary to have a close‐out for all requirements
T874	STATEMENT 8423 8494	it is not considered necessary to have a close‐out for all requirements
T875	STATEMENT 8304 8422	preparing the verification close‐out document (VCD) against the tailored standard derived from this standard (see D.2)
T876	CAUSE 8299 8422	When preparing the verification close‐out document (VCD) against the tailored standard derived from this standard (see D.2)
T877	CAUSE_EFFECT_RELATION 8299 8494	When preparing the verification close‐out document (VCD) against the tailored standard derived from this standard (see D.2) it is not considered necessary to have a close‐out for all requirements
T878	ROOT_SENTENCE 8299 8495	When preparing the verification close‐out document (VCD) against the tailored standard derived from this standard (see D.2) it is not considered necessary to have a close‐out for all requirements.
T879	VARIABLE 8964 8976	Life testing
T880	CONDITION 8977 9033	shall be performed after Preliminary Design Review (PDR)
T881	CONDITION 9035 9076	but prior to Critical Design Review (CDR)
T882	KEY_C 9078 9082	when
T883	VARIABLE 9083 9114	flight- like surrogate hardware
T884	CONDITION 9115 9127	is available
T885	STATEMENT 9083 9127	flight- like surrogate hardware is available
T886	CAUSE 9078 9127	when flight- like surrogate hardware is available
T887	AND 8977 9076	shall be performed after Preliminary Design Review (PDR), but prior to Critical Design Review (CDR)
T888	STATEMENT 8964 9076	Life testing shall be performed after Preliminary Design Review (PDR), but prior to Critical Design Review (CDR)
T889	CAUSE_EFFECT_RELATION 8964 9127	Life testing shall be performed after Preliminary Design Review (PDR), but prior to Critical Design Review (CDR), when flight- like surrogate hardware is available
T890	ROOT_SENTENCE 8964 9128	Life testing shall be performed after Preliminary Design Review (PDR), but prior to Critical Design Review (CDR), when flight- like surrogate hardware is available.
T891	NONE_CAUSAL 9130 9142	Additionally
T892	KEY_C 9144 9148	when
T893	VARIABLE 9149 9160	appropriate
T894	CAUSE 9144 9160	when appropriate
T895	VARIABLE 9162 9216	the use of rapid prototyping of user interface designs
T896	VARIABLE 9218 9284	the use of task network and workload models to evaluate procedures
T897	VARIABLE 9290 9313	other forms of modeling
T898	VARIABLE 9318 9328	simulation
T899	AND 9290 9328	other forms of modeling and simulation
T900	AND 9218 9328	the use of task network and workload models to evaluate procedures, and other forms of modeling and simulation
T901	AND 9162 9328	the use of rapid prototyping of user interface designs, the use of task network and workload models to evaluate procedures, and other forms of modeling and simulation
T902	CONDITION 9329 9348	shall be considered
T903	STATEMENT 9162 9348	the use of rapid prototyping of user interface designs, the use of task network and workload models to evaluate procedures, and other forms of modeling and simulation shall be considered
T904	CAUSE_EFFECT_RELATION 9144 9348	when appropriate, the use of rapid prototyping of user interface designs, the use of task network and workload models to evaluate procedures, and other forms of modeling and simulation shall be considered
T905	ROOT_SENTENCE 9130 9349	Additionally, when appropriate, the use of rapid prototyping of user interface designs, the use of task network and workload models to evaluate procedures, and other forms of modeling and simulation shall be considered.
T906	KEY_C 9465 9469	When
T907	VARIABLE 9470 9472	it
T908	CONDITION 9473 9504	is necessary to obtain the data
T909	STATEMENT 9470 9504	it is necessary to obtain the data
T910	CAUSE 9465 9504	When it is necessary to obtain the data
T911	VARIABLE 9506 9525	the applicable DIDs
T912	CONDITION 9526 9594	must be listed on the Contract Data Requirements List (DD Form 1423)
T913	STATEMENT 9506 9594	the applicable DIDs must be listed on the Contract Data Requirements List (DD Form 1423)
T914	CAUSE_EFFECT_RELATION 9465 9594	When it is necessary to obtain the data, the applicable DIDs must be listed on the Contract Data Requirements List (DD Form 1423)
T915	ROOT_SENTENCE 9465 9595	When it is necessary to obtain the data, the applicable DIDs must be listed on the Contract Data Requirements List (DD Form 1423).
T916	VARIABLE 9602 9607	there
T917	CONDITION 9608 9686	is a conflict between this document and the platform specification or contract
T918	VARIABLE 9688 9714	the platform specification
T919	VARIABLE 9718 9726	contract
T920	CONDITION 9727 9748	shall take precedence
T921	OR 9688 9726	the platform specification or contract
T922	STATEMENT 9602 9686	there is a conflict between this document and the platform specification or contract
T923	CAUSE 9597 9686	When there is a conflict between this document and the platform specification or contract
T924	STATEMENT 9688 9748	the platform specification or contract shall take precedence
T925	CAUSE_EFFECT_RELATION 9597 9748	When there is a conflict between this document and the platform specification or contract, the platform specification or contract shall take precedence
T926	ROOT_SENTENCE 9597 9749	When there is a conflict between this document and the platform specification or contract, the platform specification or contract shall take precedence.
T11	CONDITION 10813 10877	leaves a gap at the split ends no wider than 1.60 mm (.063 inch)
T12	AND 10784 10877	shall be a diagonal cut that leaves a gap at the split ends no wider than 1.60 mm (.063 inch)
T13	STATEMENT 10774 10877	the split shall be a diagonal cut that leaves a gap at the split ends no wider than 1.60 mm (.063 inch)
T478	CAUSE_EFFECT_RELATION 10712 10877	When the donut grommet is split and for caterpillar grommets, the split shall be a diagonal cut that leaves a gap at the split ends no wider than 1.60 mm (.063 inch)
T479	ROOT_SENTENCE 10712 10878	When the donut grommet is split and for caterpillar grommets, the split shall be a diagonal cut that leaves a gap at the split ends no wider than 1.60 mm (.063 inch).
T128	CONDITION 9757 9763	normal
T129	STATEMENT 9757 9784	normal operating conditions
T130	VARIABLE 9942 9969	optical viewing instruments
T927	STATEMENT 9942 9978	optical viewing instruments are used
T928	VARIABLE 9980 9982	it
T929	CONDITION 9983 10034	is possible that hazardous energy can enter the eye
T930	STATEMENT 9980 10034	it is possible that hazardous energy can enter the eye
T931	CAUSE_EFFECT_RELATION 9895 10034	when an optical fiber connection is broken and optical viewing instruments are used, it is possible that hazardous energy can enter the eye
T932	AND 9751 10034	Under normal operating conditions, the laser diode found in an optical fiber communication system (OFCS) is inherently an eye safe system; but, when an optical fiber connection is broken and optical viewing instruments are used, it is possible that hazardous energy can enter the eye
T933	ROOT_SENTENCE 9751 10035	Under normal operating conditions, the laser diode found in an optical fiber communication system (OFCS) is inherently an eye safe system; but, when an optical fiber connection is broken and optical viewing instruments are used, it is possible that hazardous energy can enter the eye.
T239	ROOT_SENTENCE 7309 7462	When part of the qualification is obtained on other model(s), then the PFM shall be tested in accordance with Table 5‐3 for the relevant type(s) of test.
