T1	VARIABLE 0 8	Channels
T867	ROOT_SENTENCE 10116 10182	This scan is not necessary if there is only one channel specified.
T868	KEY_C 10184 10186	If
T869	VARIABLE 10190 10206	suitable channel
T870	CONDITION 10207 10215	is found
T871	STATEMENT 10190 10215	suitable channel is found
T872	NEGATION 10187 10215	no suitable channel is found
T873	CAUSE 10184 10215	If no suitable channel is found
T874	VARIABLE 10217 10225	the NLME
T875	CONDITION 10226 10255	shall terminate the procedure
T876	CONDITION 10260 10311	notify the next higher layer of the startup failure
T877	AND 10226 10311	shall terminate the procedure and notify the next higher layer of the startup failure
T878	STATEMENT 10217 10311	the NLME shall terminate the procedure and notify the next higher layer of the startup failure
T879	CAUSE_EFFECT_RELATION 10184 10311	If no suitable channel is found, the NLME shall terminate the procedure and notify the next higher layer of the startup failure
T880	ROOT_SENTENCE 10184 10312	If no suitable channel is found, the NLME shall terminate the procedure and notify the next higher layer of the startup failure.
T881	KEY_C 10787 10789	If
T882	VARIABLE 10790 10817	the RejoinNetwork parameter
T883	CONDITION 10818 10825	is 0x00
T884	VARIABLE 10830 10856	the JoinAsRouter parameter
T885	CONDITION 10857 10871	is set to TRUE
T886	VARIABLE 10873 10883	the device
T887	CONDITION 10884 10931	will function as a ZigBee router in the network
T888	STATEMENT 10873 10931	the device will function as a ZigBee router in the network
T889	STATEMENT 10830 10871	the JoinAsRouter parameter is set to TRUE
T890	STATEMENT 10790 10825	the RejoinNetwork parameter is 0x00
T891	AND 10790 10871	the RejoinNetwork parameter is 0x00 and the JoinAsRouter parameter is set to TRUE
T892	CAUSE 10787 10871	If the RejoinNetwork parameter is 0x00 and the JoinAsRouter parameter is set to TRUE
T893	CAUSE_EFFECT_RELATION 10787 10931	If the RejoinNetwork parameter is 0x00 and the JoinAsRouter parameter is set to TRUE, the device will function as a ZigBee router in the network
T894	ROOT_SENTENCE 10787 10932	If the RejoinNetwork parameter is 0x00 and the JoinAsRouter parameter is set to TRUE, the device will function as a ZigBee router in the network.
T895	KEY_C 10934 10936	If
T896	VARIABLE 10937 10956	the attempt to join
T897	CONDITION 10957 10973	was unsuccessful
T898	VARIABLE 10975 10983	the NLME
T899	CONDITION 10984 11053	shall attempt to find another suitable parent from the neighbor table
T900	STATEMENT 10975 11053	the NLME shall attempt to find another suitable parent from the neighbor table
T901	STATEMENT 10937 10973	the attempt to join was unsuccessful
T902	CAUSE 10934 10973	If the attempt to join was unsuccessful
T903	CAUSE_EFFECT_RELATION 10934 11053	If the attempt to join was unsuccessful, the NLME shall attempt to find another suitable parent from the neighbor table
T904	ROOT_SENTENCE 10934 11054	If the attempt to join was unsuccessful, the NLME shall attempt to find another suitable parent from the neighbor table.
T719	VARIABLE 4924 4938	this attribute
T720	CONDITION 4939 4945	exists
T721	VARIABLE 4947 4956	its value
T722	CONDITION 4957 4973	shall be changed
T905	KEY_C 4974 4978	when
T906	VARIABLE 4979 5011	any of the other service records
T907	CONDITION 5012 5024	are added to
T908	CONDITION 5028 5062	deleted from the server's database
T909	OR 5012 5062	are added to or deleted from the server's database
T910	STATEMENT 4979 5062	any of the other service records are added to or deleted from the server's database
T911	CAUSE 4974 5062	when any of the other service records are added to or deleted from the server's database
T912	STATEMENT 4947 4973	its value shall be changed
T913	STATEMENT 4924 4945	this attribute exists
T914	CAUSE_EFFECT_RELATION 4947 5062	its value shall be changed when any of the other service records are added to or deleted from the server's database
T915	CAUSE 4921 4945	If this attribute exists
T916	CAUSE_EFFECT_RELATION 4921 5062	If this attribute exists, its value shall be changed when any of the other service records are added to or deleted from the server's database
T917	ROOT_SENTENCE 4921 5063	If this attribute exists, its value shall be changed when any of the other service records are added to or deleted from the server's database.
